#OTU ID	HS0-LW-2-30	HS0-LW-2-30-0.005-rep1	HS0-LW-2-30-0.005-rep2	HS0-LW-2-30-0.005-rep3	HS0-LW-2-30-0.01-rep1	HS0-LW-2-30-0.01-rep2	HS0-LW-2-30-0.01-rep3	HS0-LW-2-30-0.05-rep1	HS0-LW-2-30-0.05-rep2	HS0-LW-2-30-0.05-rep3	HS0-LW-2-30-0.1-rep1	HS0-LW-2-30-0.1-rep2	HS0-LW-2-30-0.1-rep3	HS0-LW-2-30-0.2-rep1	HS0-LW-2-30-0.2-rep2	HS0-LW-2-30-0.2-rep3	HS0-LW-2-30-0.3-rep1	HS0-LW-2-30-0.3-rep2	HS0-LW-2-30-0.3-rep3	HS0-LW-2-30-0.4-rep1	HS0-LW-2-30-0.4-rep2	HS0-LW-2-30-0.4-rep3	HS0-LW-2-30-0.5-rep1	HS0-LW-2-30-0.5-rep2	HS0-LW-2-30-0.5-rep3
OTU_1017	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1
OTU_1018	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1
OTU_1019	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	1	1	2
OTU_102	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0
OTU_1020	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1
OTU_1022	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1
OTU_1023	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1
OTU_1024	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0
OTU_1025	3	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	2	1	0	2	0	1	2	2
OTU_1026	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	2	0	0	1	1
OTU_1027	20	0	0	1	0	1	0	0	2	2	2	3	3	3	4	4	6	7	5	11	7	7	8	15	7
OTU_1028	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1
OTU_103	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1
OTU_1030	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0
OTU_1031	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1
OTU_1032	148	0	1	1	2	1	1	10	11	10	17	17	11	23	32	28	47	48	45	67	58	65	64	77	71
OTU_1033	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0
OTU_1035	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0
OTU_1036	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1
OTU_1037	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1
OTU_1038	7	0	0	0	0	0	0	0	0	0	2	1	0	1	2	2	2	2	1	2	2	5	2	5	6
OTU_1039	5	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	1	1	1	2	2	4	5	4	1
OTU_1040	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0
OTU_1041	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0
OTU_1042	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1
OTU_1043	52	1	0	2	3	1	1	3	6	1	6	5	4	7	12	7	10	19	16	18	21	20	38	24	23
OTU_1045	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0
OTU_1046	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1
OTU_1047	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1
OTU_1049	13	0	0	0	0	1	0	0	0	0	3	2	1	4	2	2	4	4	3	5	6	6	7	8	3
OTU_105	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	2	0	1	0	0	0	2	0
OTU_1050	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1
OTU_1051	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1
OTU_1052	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1
OTU_1053	11	0	0	0	0	0	0	1	1	1	1	1	2	0	2	1	3	1	2	7	4	4	5	4	3
OTU_1054	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1
OTU_1055	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1
OTU_1057	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1
OTU_1058	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1
OTU_1059	4	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	2	0	2	1	3	2	1	1	2
OTU_106	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1
OTU_1060	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1
OTU_1061	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0
OTU_1062	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1
OTU_1063	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1
OTU_1064	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0
OTU_1065	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1
OTU_1066	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1
OTU_1067	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1
OTU_1068	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0
OTU_107	7178	26	39	42	76	65	70	361	349	386	737	758	743	1434	1496	1443	2114	2147	2167	2926	2925	2891	3582	3511	3624
OTU_1070	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1
OTU_1071	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1
OTU_1072	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1
OTU_1073	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1
OTU_1074	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1
OTU_1075	5	0	0	0	0	0	0	1	0	0	2	1	1	1	2	2	0	0	1	3	3	5	5	2	4
OTU_1076	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1
OTU_1077	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1
OTU_1078	29	0	0	1	0	1	0	3	2	2	2	5	2	6	2	4	8	8	6	12	15	14	12	13	18
OTU_108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0
OTU_1080	887	1	7	2	15	13	12	51	50	49	94	95	90	166	183	160	266	265	268	384	353	367	471	446	435
OTU_1081	5	0	0	0	0	0	0	0	0	0	0	3	3	3	0	2	2	2	1	1	2	1	2	1	4
OTU_1082	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0
OTU_1083	24	0	0	0	0	0	0	3	0	2	1	0	3	6	4	5	5	4	9	4	13	10	12	15	13
OTU_1084	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0
OTU_1086	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0
OTU_1087	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0
OTU_1088	5	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	2	0	3	1	2	3	2	2
OTU_1089	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1
OTU_109	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0
OTU_1090	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0
